,route,stop_id,stop_name,total_board,total_off,total_usage,,,
16,6713,17001,신도림역(00059),538,106,644,,,
17,6713,17002,신도림역(00013),83,533,616,,,
52,6713,19255,공군호텔(00049),75,450,525,,,
40,6713,19156,여의도역(00026),136,329,465,,,
39,6713,19155,여의도역(00047),336,123,459,,,
8,6713,14201,광흥창역.서강동주민센터(00044),402,37,439,,,
60,6713,20107,공군호텔(00024),390,49,439,,,
19,6713,17004,신도림동.구로역(00012),158,239,397,,,
7,6713,14200,광흥창역.서강동주민센터(00029),40,355,395,,,
37,6713,19153,샛강역1번출구.여의도자이(00025),96,294,390,,,
28,6713,17209,현대아파트.개봉중앙시장(00007),352,30,382,,,
29,6713,17210,현대아파트.개봉중앙시장(00065),48,297,345,,,
54,6713,19280,국회의사당(00045),75,261,336,,,
23,6713,17008,동양미래대학.구로성심병원(00010),248,73,321,,,
36,6713,19133,국회의사당역(00046),188,110,298,,,
38,6713,19154,샛강역4번출구.여의도자이(00048),175,116,291,,,
35,6713,19132,국회의사당역.국민은행(00027),139,135,274,,,
59,6713,20106,서울지방병무청앞(00023),230,41,271,,,
22,6713,17007,동양미래대학.구로성심병원(00062),86,177,263,,,
56,6713,19301,신길보라매SK뷰아파트(00022),209,43,252,,,
53,6713,19256,서울지방병무청(00050),42,208,250,,,
11,6713,14204,신촌로터리(00042),201,13,214,,,
25,6713,17010,개봉역.한마을아파트(00009),141,72,213,,,
46,6713,19239,신길힐스테이트클래시안아파트(00020),146,61,207,,,
34,6713,19131,국회의사당(00028),160,42,202,,,
57,6713,19871,신길한성아파트(00051),34,152,186,,,
3,6713,14016,홍대입구역(00035),17,167,184,,,_
58,6713,19872,신길중앙새마을금고(00052),40,141,181,,,
20,6713,17005,구일역.중앙유통상가(00061),69,109,178,,,
30,6713,17515,경북슈퍼마켓(00006),142,32,174,,,
12,6713,14205,신촌로터리(00031),11,158,169,,,
27,6713,17166,경인중학교(00064),74,93,167,,,
24,6713,17009,개봉역.영화아파트(00063),67,97,164,,,
2,6713,14015,홍대입구역(00039),150,10,160,,,
55,6713,19285,신길파크자이아파트(00021),130,30,160,,,
51,6713,19249,신풍역.백악관웨딩문화원앞(00019),119,39,158,,,
21,6713,17006,구일역.제일제당(00011),77,72,149,,,
26,6713,17164,개봉사거리(00008),71,78,149,,,
18,6713,17003,신도림동.구로역(00060),57,89,146,,,
1,6713,13021,신촌오거리.현대백화점(00032),31,109,140,,,
42,6713,19187,도림마을금고(00015),58,79,137,,,
63,6713,38068,광복시장.철산두산위브아파트(00068),0,115,115,,,
43,6713,19233,신길한화꿈에그린아파트(00053),40,74,114,,,
45,6713,19235,성락교회(00056),76,37,113,,,
9,6713,14202,창전현대홈타운(00030),21,88,109,,,
31,6713,17552,경북슈퍼마켓(00066),28,79,107,,,
69,6713,38084,철산현대아파트(00003),104,0,104,,,
44,6713,19234,성락교회(00016),49,50,99,,,
47,6713,19241,신풍역.백악관웨딩문화원앞(00054),31,65,96,,,
13,6713,14228,신촌역(00041),70,25,95,,,
4,6713,14061,동교동삼거리(00040),79,13,92,,,
33,6713,19002,문래동남성아파트(00058),43,48,91,,,
41,6713,19186,도림마을금고(00057),60,29,89,,,
10,6713,14203,창전현대홈타운(00043),64,23,87,,,
14,6713,14314,서교동주민센터.마포신문사(00036),41,44,85,,,
32,6713,19001,문래동남성아파트(00014),24,60,84,,,
48,6713,19242,신길5동주민센터(00055),51,28,79,,,
50,6713,19244,신풍역(00018),14,64,78,,,
0,6713,13019,동교동삼거리(00033),11,52,63,,,
65,6713,38071,철산현대아파트(00069),0,62,62,,,
68,6713,38078,광복시장.철산두산위브아파트(00004),62,0,62,,,
49,6713,19243,신길5동주민센터(00017),22,37,59,,,
67,6713,38076,철산우성아파트(00002),39,0,39,,,
15,6713,14315,동교로사거리(00037),33,5,38,,,
61,6713,38001,철산교(00005),17,12,29,,,
64,6713,38069,철산우성아파트(00070),0,17,17,,,
70,6713,38255,철산교(00067),2,10,12,,,
62,6713,38067,세풍운수종점(00071),0,5,5,,,
66,6713,38073,세풍운수종점(00001),4,0,4,,,
